Datum,PREJETA DELOVNA ENERGIJA ET,PREJETA VT,PREJETA MT,ODDANA DELOVNA ENERGIJA ET,ODDANA VT,ODDANA MT
2023-01-01,852.693,380.98,471.713,788.63,493.154,295.476
2023-01-02,871.273,380.98,490.293,788.859,493.154,295.705
2023-01-03,888.409,380.98,507.429,788.941,493.154,295.787
2023-01-04,901.183,390.818,510.365,789.006,493.219,295.787
2023-01-05,911.497,398.148,513.349,794.956,499.169,295.787
2023-01-06,928.398,411.599,516.799,795.219,499.432,295.787
2023-01-07,943.55,423.068,520.482,798.32,502.533,295.787
2023-01-08,959.765,423.068,536.697,799.335,502.533,296.802
2023-01-09,976.898,423.068,553.83,799.443,502.533,296.91
2023-01-10,991.176,432.736,558.44,801.609,504.699,296.91
2023-01-11,1000.89,439.502,561.388,828.322,531.412,296.91
2023-01-12,1008.129,443.971,564.158,847.074,550.163,296.911
2023-01-13,1017.406,450.104,567.302,865.142,568.231,296.911
2023-01-14,1028.677,457.955,570.722,870.299,573.388,296.911
2023-01-15,1040.698,457.955,582.743,895.126,573.388,321.738
2023-01-16,1058.939,457.955,600.984,896.534,573.388,323.146
2023-01-17,1072.867,469.032,603.835,897.264,574.118,323.146
2023-01-18,1084.287,477.409,606.878,898.025,574.879,323.146
2023-01-19,1094.336,484.638,609.698,899.846,576.7,323.146
2023-01-20,1105.425,492.703,612.722,903.109,579.963,323.146
2023-01-21,1115.153,499.451,615.702,923.108,599.962,323.146
2023-01-22,1126.953,499.451,627.502,925.525,599.962,325.563
2023-01-23,1143.264,499.451,643.813,930.708,599.962,330.746
2023-01-24,1156.701,509.507,647.194,932.266,601.52,330.746
2023-01-25,1171.188,519.213,651.975,938.087,607.341,330.746
2023-01-26,1183.095,526.679,656.416,964.225,633.479,330.746
2023-01-27,1191.203,531.543,659.66,987.781,657.035,330.746
2023-01-28,1200.661,538.402,662.259,999.876,669.13,330.746
2023-01-29,1213.29,538.402,674.888,1014.405,669.13,345.275
2023-01-30,1220.793,538.402,682.391,1048.403,669.13,379.273
2023-01-31,1232.567,547.418,685.149,1074.752,695.479,379.273
2023-02-01,1243.993,555.83,688.163,1107.77,728.497,379.273
2023-02-02,1256.067,565.064,691.003,1117.746,738.473,379.273
2023-02-03,1265.655,571.818,693.837,1137.764,758.491,379.273
2023-02-04,1277.199,580.085,697.114,1155.672,776.399,379.273
2023-02-05,1288.466,580.085,708.381,1189.251,776.399,412.852
2023-02-06,1298.386,580.085,718.301,1222.451,776.399,446.052
2023-02-07,1308.017,586.487,721.53,1244.728,798.676,446.052
2023-02-08,1315.784,591.324,724.46,1284.181,838.129,446.052
2023-02-09,1323.514,591.324,732.19,1318.964,838.129,480.835
2023-02-10,1353.033,613.661,739.372,1347.363,866.528,480.835
2023-02-11,1381.772,625.991,755.781,1382.098,901.263,480.835
2023-02-12,1392.36,625.991,766.369,1408.803,901.263,507.54
2023-02-13,1401.863,625.991,775.872,1435.718,901.263,534.455
2023-02-14,1413.898,633.5,780.398,1475.836,941.381,534.455
2023-02-15,1423.026,639.917,783.109,1513.945,979.49,534.455
2023-02-16,1431.23,645.348,785.882,1553.503,1019.048,534.455
2023-02-17,1443.973,652.604,791.369,1582.191,1047.736,534.455
2023-02-18,1453.109,658.654,794.455,1587.279,1052.824,534.455
2023-02-19,1465.308,658.654,806.654,1590.738,1052.824,537.914
2023-02-20,1479.39,658.654,820.736,1590.873,1052.824,538.049
2023-02-21,1487.635,663.491,824.144,1611.589,1073.54,538.049
2023-02-22,1496.21,668.541,827.669,1615.377,1077.327,538.05
2023-02-23,1505.979,673.611,832.368,1641.524,1103.474,538.05
2023-02-24,1518.153,682.152,836.001,1642.492,1104.442,538.05
2023-02-25,1534.703,693.626,841.077,1643.736,1105.686,538.05
2023-02-26,1553.637,693.626,860.011,1644.951,1105.686,539.265
2023-02-27,1561.538,693.626,867.912,1656.002,1105.686,550.316
2023-02-28,1569.271,698.324,870.947,1688.88,1138.564,550.316
