Datum,PREJETA DELOVNA ENERGIJA ET,PREJETA DELOVNA ENERGIJA VT,PREJETA DELOVNA ENERGIJA MT,ODDANA DELOVNA ENERGIJA ET,ODDANA DELOVNA ENERGIJA VT,ODDANA DELOVNA ENERGIJA MT,Unnamed: 9
2024-01-01,6157.798,2340.194,3817.604,11712.827,7978.494,3734.333,
2024-01-02,6186.164,2340.194,3845.97,11720.813,7978.494,3742.319,
2024-01-03,6223.063,2340.194,3882.869,11722.342,7978.494,3743.848,
2024-01-04,6258.363,2364.958,3893.405,11722.342,7978.494,3743.848,
2024-01-05,6292.807,2388.2,3904.607,11722.92,7979.072,3743.848,
2024-01-06,6322.283,2405.222,3917.061,11732.891,7989.043,3743.848,
2024-01-07,6368.241,2405.222,3963.019,11732.891,7989.043,3743.848,
2024-01-08,6402.155,2405.222,3996.933,11732.896,7989.043,3743.853,
2024-01-09,6439.138,2430.388,4008.75,11734.001,7990.148,3743.853,
2024-01-10,6472.483,2449.912,4022.571,11754.997,8011.144,3743.853,
2024-01-11,6512.133,2473.119,4039.014,11768.719,8024.866,3743.853,
2024-01-12,6545.887,2489.437,4056.45,11795.262,8051.409,3743.853,
2024-01-13,6581.629,2511.201,4070.428,11819.661,8075.808,3743.853,
2024-01-14,6630.786,2511.201,4119.585,11838.502,8075.808,3762.694,
2024-01-15,6679.509,2511.201,4168.308,11838.502,8075.808,3762.694,
2024-01-16,6720.028,2536.551,4183.477,11838.507,8075.813,3762.694,
2024-01-17,6750.452,2552.05,4198.402,11861.374,8098.68,3762.694,
2024-01-18,6797.45,2585.601,4211.849,11861.374,8098.68,3762.694,
2024-01-19,6835.128,2609.289,4225.839,11861.48,8098.786,3762.694,
2024-01-20,6876.8,2639.521,4237.279,11861.48,8098.786,3762.694,
2024-01-21,6915.829,2639.521,4276.308,11885.186,8098.786,3786.4,
2024-01-22,6950.204,2639.521,4310.683,11907.445,8098.786,3808.659,
2024-01-23,6991.819,2662.52,4329.299,11924.672,8116.013,3808.659,
2024-01-24,7023.513,2679.111,4344.402,11950.737,8142.078,3808.659,
2024-01-25,7054.693,2695.648,4359.045,11957.528,8148.869,3808.659,
2024-01-26,7083.053,2711.572,4371.481,11974.372,8165.713,3808.659,
